Fecha | ID | Estado | Agente | Nombre Entidad
2019-03-18 | 20191230956 | Delinquent      | WILLIAM JACKSON           | MEDOSYS NATIONAL GROUP INC., Delinquent July 1, 2022
2019-03-18 | 20191231061 | Delinquent      | ALGERNON MADDIN           | WAXTREE SUPER ENTERPRISES INC., Delinquent June 1, 2022
2019-03-18 | 20191231132 | Delinquent      | Terrell Taylor            | DUSTGROUND VENTURE GROUP INC., Delinquent June 1, 2022
2019-03-18 | 20191231214 | Delinquent      | CHRISTOPHE NGORAN ATTOUMB | CHFS INTERNATIONAL CONSULTING GROUP INC., Delinquent April 1, 2022
2019-03-18 | 20191231260 | Delinquent      | Anthony T Leach           | CLP MEGA POWER TEAM INC., Delinquent March 1, 2022
2019-03-18 | 20191231315 | Delinquent      | CONCETTA IOVENE           | CPI INTERNATIONAL GROUP INC., Delinquent August 1, 2024
2019-03-18 | 20191231361 | Delinquent      | Danna Jackson             | VENDORTECH TECHNOLOGY INC., Delinquent March 1, 2022
2019-03-18 | 20191231515 | Delinquent      | Kolby lynch               | BALLBASE TECHNICAL GROUP INC., Delinquent July 1, 2022
2019-03-25 | 20191261564 | Delinquent      | ADEDAPO AJILOGBA          | ALLIANZ PRIVATE INDUSTRY INC., Delinquent June 1, 2022
2019-03-25 | 20191262592 | Delinquent      | Bobby Breeze              | WESTERN WHEELS ONDUTY INC., Delinquent June 1, 2023
2019-03-25 | 20191261756 | Delinquent      | SYED MEHBOOB              | ASM INTERNATIONAL PRIVATE GROUP INC., Delinquent January 1, 2022
2019-03-25 | 20191261958 | Delinquent      | Edward Haberstroh         | ASLM NATIONAL HOLDING TECHNOLOGIES INC., Delinquent July 1, 2022
2019-03-25 | 20191263048 | Delinquent      | Nojan Farhoomand-Ketabchi | ASHTREE TECHNICAL GROUP INC., Delinquent March 1, 2022
2019-03-26 | 20191265174 | Delinquent      | PAUL OMINDE               | MEDTEST TECHNOLOGIES INC., Delinquent March 1, 2022
2019-03-26 | 20191265230 | Delinquent      | Roy T Redd                | TRUE BACKBONE SYSTEM INC., Delinquent March 1, 2022
2019-03-26 | 20191265501 | Delinquent      | JONG MIN                  | BELLTREE INTERNATIONAL TECHNOLOGIES INC., Delinquent February 1, 2022
2019-03-26 | 20191265911 | Delinquent      | CARON GRANTHAM            | BLACK BUFFALO VENTURE INC., Delinquent February 1, 2022
2019-03-26 | 20191265369 | Delinquent      | John Wynne                | BELMONT TECHNICAL ENERGY GROUP INC.
2019-03-29 | 20191280479 | Delinquent      | Ajamu Kafele              | NDT HOLDING SYSTEMS INC., Delinquent August 1, 2021
2019-03-29 | 20191280531 | Delinquent      | EDWARD HIDALGO            | NIPPON INTERNATIONAL GROUP INC., Delinquent August 1, 2020
2019-03-29 | 20191280602 | Delinquent      | Janel Walker              | NORTEL SYSTEMATIC NETWORK INC., Delinquent August 1, 2021
2019-03-29 | 20191280677 | Delinquent      | EDWARD HIDALGO            | OCEAN FAST TREND SYSTEM INC., Delinquent August 1, 2020
2019-03-29 | 20191280731 | Delinquent      | Colin Fleming             | OXTREE GLOBAL VENTURE INC., Delinquent August 1, 2021
2019-03-29 | 20191280853 | Delinquent      | Callixta Baptiste         | DEEPRIVER INTERNATIONAL INDUSTRY INC., Delinquent August 1, 2021
2019-03-29 | 20191280811 | Delinquent      | Tyesia Hunter             | NETMET INTERNATIONAL TECHNOLOGIES INC., Delinquent February 1, 2022
2019-03-29 | 20191281216 | Delinquent      | Callixta Baptiste         | ROYALTECH INTERNATIONAL PRODUCTS INC., Delinquent August 1, 2021
2019-03-29 | 20191281270 | Delinquent      | Samuel Jacques            | SATYAM INTERNATIONAL VENTURES INC., Delinquent August 1, 2021
2019-03-29 | 20191281294 | Delinquent      | EDWARD HIDALGO            | TELMO NATIONAL RESOURCES INC., Delinquent August 1, 2020
2019-03-29 | 20191281168 | Delinquent      | Clarence Davenport        | ROCKWELL GROUP TECHNOLOGIES INC., Delinquent February 1, 2022
2019-05-08 | 20191395240 | Delinquent      | Eric Benoit               | BLACKBELT HEALTHCARE NETWORKS INC., Delinquent October 1, 2021
2019-05-08 | 20191395476 | Delinquent      | William Turner            | CRYSTAL CONSULTING SOLUTIONS INC., Delinquent October 1, 2021
2019-05-08 | 20191395498 | Delinquent      | Philip Francis            | TRUE ADVERTISING BUSINESS INC., Delinquent October 1, 2021
2019-05-08 | 20191395577 | Delinquent      | BRYON SMITH               | ATECH INFORMATION SYSTEMS INC.
2019-05-08 | 20191395549 | Voluntarily Dis | Timothy Francis           | FOXTECH CONSULTANTS GROUP INC., Dissolved August 29, 2022
2019-05-08 | 20191395521 | Delinquent      | Regginal Penrose          | BLACKWELL TECHNICAL SYSTEM INC., Delinquent October 1, 2024
2019-05-08 | 20191395589 | Voluntarily Dis | VIOLET HOWARD             | ASML TRUCKING GROUP INC., Dissolved September 8, 2022
2019-05-09 | 20191396376 | Delinquent      | MALIK HALL                | AXA HEALTHCARE TEAM INC., Delinquent October 1, 2021
2019-05-09 | 20191396392 | Delinquent      | Ezekiel Bailey            | WESTERN ROAD NETWORKS INC., Delinquent October 1, 2021
2019-05-09 | 20191396438 | Delinquent      | Johnson Sylvester         | PRINTINGTECH SYSTEMS INC., Delinquent May 1, 2023
2019-05-09 | 20191396457 | Delinquent      | Edward Hidalgo            | CONGO TRUE FASHION INC., Delinquent October 1, 2021
2019-05-09 | 20191396508 | Delinquent      | Alexshandra Brackenridge  | GAMA HEALTHCARE SYSTEM INC., Delinquent October 1, 2021
2019-05-09 | 20191396537 | Delinquent      | Alexis Jones              | DAYNIGHT TRUE SERVICES INC., Delinquent October 1, 2021
2019-05-09 | 20191396574 | Delinquent      | Lebarron Williams         | WHITEANGEL GROUP INC., Delinquent October 1, 2021
2019-05-09 | 20191396607 | Delinquent      | Colby Ammons              | AIRFREE TECHNOLOGIES INC., Delinquent October 1, 2021
2019-05-09 | 20191396635 | Delinquent      | Edward Hidalgo            | TMT TECHNICAL GROUP INC., Delinquent October 1, 2020
